name,sector,level1,level2,note
金融科技_行動支付,資訊業,金融科技,行動支付,
金融科技_區塊鏈,資訊業,金融科技,區塊鏈,
金融科技_交易平台,資訊業,金融科技,交易平台,
金融科技_資料分析,資訊業,金融科技,資料分析,
金融科技_系統開發,資訊業,金融科技,系統開發,
資料科學,資訊業,資料科學,,
系統整合,資訊業,系統整合,,
系統開發,資訊業,系統開發,,
系統製造,資訊業,系統製造,,
雲端,資訊業,雲端,,
電子代工,資訊業,電子代工,,
電腦與周邊設備製造,資訊業,電腦與周邊設備製造,,
物聯網_車用電子,資訊業,物聯網,車用電子,
物聯網_智慧生活,資訊業,物聯網,智慧生活,
智慧應用_數位平台,資訊業,智慧應用,數位平台,
資安,資訊業,資安,,
AI_機器學習,資訊業,AI,機器學習,
AI_解決方案,資訊業,AI,解決方案,
AI_光學影像,資訊業,AI,光學影像,
AI_智慧製造,資訊業,AI,智慧製造,
遊戲開發,資訊業,遊戲開發,,
網路通訊,資訊業,網路通訊,,
App開發,資訊業,App開發,,
半導體_代理商,科技業,半導體,代理商,
半導體_電子製造,科技業,半導體,電子製造,
半導體_IC設計,科技業,半導體,IC設計,
半導體_IC製造,科技業,半導體,IC製造,
半導體_IC設計與製造,科技業,半導體,IC設計與製造,
半導體_設備商,科技業,半導體,設備商,
半導體_晶圓代工,科技業,半導體,晶圓代工,
半導體_EDA,科技業,半導體,EDA,
半導體_記憶體,科技業,半導體,記憶體,
電子製造_電源供應,科技業,電子製造,電源供應,
電子製造_解決方案,科技業,電子製造,解決方案,
化學工業,科技業,化學工業,,
化學儀器,科技業,化學儀器,,
光電_顯示器製造,科技業,光電,顯示器製造,
銀行,金融業,銀行,,
證券,金融業,證券,,
保險,金融業,保險,,
金融控股,金融業,金融控股,,
食品,傳統製造,食品,,
紙業,傳統製造,紙業,,
塑膠,傳統製造,塑膠,,
玻璃,傳統製造,玻璃,,
工業零組件,傳統製造,工業零組件,,
工程顧問,工程營造,工程顧問,,
統包工程,工程營造,統包工程,,
機電工程,工程營造,機電工程,,
租賃業,租賃業,租賃業,,
會計,顧問業,會計,,
管理顧問,顧問業,管理顧問,,
投資顧問,顧問業,投資顧問,,
房仲,不動產業,房仲,,
學生住宅開發與管理,不動產業,學生住宅開發與管理,,
大專院校,教育與研究,大專院校,,
研究單位,教育與研究,研究單位,,
數位平台,教育與研究,數位平台,,
轉職機構,教育與研究,轉職機構,,
補教機構,教育與研究,補教機構,,
電信,電信業,電信,,
旅行社,旅遊業,旅行社,,
行銷整合,媒體業,行銷整合,,
社群媒體,媒體業,社群媒體,,
電視,媒體業,電視,,
廣告,媒體業,廣告,,
物流,物流業,物流,,
電商平台,零售業,電商平台,,
量販店,零售業,量販店,,
3C通訊,零售業,3C通訊,,
便利商店,零售業,便利商店,,
書局,零售業,書局,,
生活用品,零售業,生活用品,,
休閒娛樂,服務業,休閒娛樂,,
餐飲業,服務業,餐飲業,,
設備整合,醫療業,設備整合,,
醫療器材,醫療業,醫療器材,,
生物科技,生技業,生物科技,,
公部門,公部門,公部門,,
物流業,物流業,物流業,,
商品設計,設計業,商品設計,,
室內設計,設計業,室內設計,,
服裝設計,設計業,服裝設計,,
不明,不明,不明,,