name,standardized_name,level,tags
軟體工程師,軟體工程師,一般,
系統軟體工程師,軟體工程師,一般,
軟體開發工程師,軟體工程師,一般,
資深研發工程師,軟體工程師,資深,
研發工程師,軟體工程師,一般,
AI平台軟體工程師,軟體工程師,一般,
SAP工程師,軟體工程師,一般,
軟體專案工程師,軟體工程師,一般,
專案工程師,專案工程師,一般,
資深軟體工程師,軟體工程師,資深,
前端工程師,前端工程師,一般,
資深前端工程師,前端工程師,資深,
後端工程師,後端工程師,一般,
資深後端工程師,後端工程師,資深,
Android工程師,App工程師,一般,
ios工程師,App工程師,一般,
系統工程師,系統工程師,一般,
PHP後端工程師,後端工程師,一般,
Java軟體工程師,軟體工程師,一般,
C# 開發工程師,軟體工程師,一般,
測試工程師,測試工程師,一般,
軟體測試工程師,測試工程師,一般,
資深測試工程師,測試工程師,資深,
Python工程師,軟體工程師,一般,
資料工程師,資料工程師,一般,
資料應用工程師,資料工程師,一般,
大數據工程師,資料工程師,一般,
BI工程師,資料工程師,一般,
資料分析師,資料分析師,一般,
電商資料分析師,資料分析師,一般,
商業分析師,商業分析師,一般,
資料科學家,資料科學家,一般,
區塊鏈工程師,區塊鏈工程師,一般,
全端工程師,全端工程師,一般,
電商資料分析師,資料分析師,一般,
機器學習工程師,機器學習工程師,一般,
資深財務資料自動化工程師,DevOps工程師,一般,
DevOps工程師,DevOps工程師,一般,
MLOps工程師,DevOps工程師,一般,
中級演算法工程師,演算法工程師,一般,
助理架構師,系統架構師,助理,
AI工程師,AI工程師,一般,
AI軟體工程師,AI工程師,一般,
可靠度工程師,可靠度工程師,一般,
模型開發工程師,模型開發工程師,一般,
控制工程師,其他,一般,
製程工程師,其他,一般,
機械工程師,其他,一般,
網路門市維運人員,其他,一般,
研究員,其他,一般,
軟體工程師學員,學員,學員,
前端工程師學員,學員,學員,
專案經理,其他,一般,
研究助理,其他,助理,
設備工程師,其他,一般,
FAE,其他,一般,
國會頻道實況轉播文字協調員,其他,一般,
產品行銷助理,其他,助理,
英文老師,其他,一般,
品質保證技師,其他,一般,
電機工程師,其他,一般,
助理商業分析師,商業分析師,助理,
網路技術人員,其他,一般,
創辦人,其他,創辦人,
主管,其他,主管,
會計助理,其他,助理,
英文教科書編輯,其他,一般,
專案助理經理,其他,助理,
智慧製造工程師,其他,一般,
全端工程師學員,學員,學員,
監造工程師,其他,一般,
App工程師學員,學員,學員,
技術支援工程師,其他,一般,
助理軟體工程師,軟體工程師,助理,
資訊工程師,其他,一般,
行政助理,其他,助理,
社群助理,其他,助理,
精算助理,其他,助理,
基礎架構工程師,系統架構師,一般,
CRM分析師,商業分析師,一般,
資料科學工程師,資料科學家,一般,
助理工程師,其他,助理,
資深資料工程師,資料工程師,資深,
資料後端工程師,資料工程師,一般,
Java工程師,軟體工程師,一般,
iOS工程師,App工程師,一般,
AI大數據學員,學員,學員,
業務代表,其他,一般,
軟體應用開發工程師,軟體工程師,一般,
網頁技術實習生,前端工程師,實習,
資深工程師,其他,一般,
業務工程師,其他,一般,
教育講師,其他,一般,